Restaurant Name,,City,Address,Locality,,,,Cuisines,,,Has Table booking,Has Online delivery,,,,Aggregate rating,,Rating text
Le Petit Souffle,,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City",,,,"French, Japanese, Desserts",,,Yes,No,,,,4.8,,Excellent
Izakaya Kikufuji,,Makati City,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City",,,,Japanese,,,Yes,No,,,,4.5,,Excellent
Heat - Edsa Shangri-La,,Mandaluyong City,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City",,,,"Seafood, Asian, Filipino, Indian",,,Yes,No,,,,4.4,,Very Good
Ooma,,Mandaluyong City,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City",,,,"Japanese, Sushi",,,No,No,,,,4.9,,Excellent
Sambo Kojin,,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City",,,,"Japanese, Korean",,,Yes,No,,,,4.8,,Excellent
Din Tai Fung,,Mandaluyong City,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City",,,,Chinese,,,No,No,,,,4.4,,Very Good
Buffet 101,,Pasay City,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City",,,,"Asian, European",,,Yes,No,,,,4,,Very Good
Vikings,,Pasay City,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City",,,,"Seafood, Filipino, Asian, European",,,Yes,No,,,,4.2,,Very Good
Spiral - Sofitel Philippine Plaza Manila,,Pasay City,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City",,,,"European, Asian, Indian",,,Yes,No,,,,4.9,,Excellent
Locavore,,Pasig City,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,,,,Filipino,,,Yes,No,,,,4.8,,Excellent
Silantro Fil-Mex,,Pasig City,"75 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,,,,"Filipino, Mexican",,,No,No,,,,4.9,,Excellent
Mad Mark's Creamery & Good Eats,,Pasig City,"23 East Capitol Drive, Kapitolyo, Pasig City",Kapitolyo,,,,"American, Ice Cream, Desserts",,,Yes,No,,,,4.2,,Very Good
Silantro Fil-Mex,,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City",,,,"Filipino, Mexican",,,No,No,,,,4.8,,Excellent
Guevarra's,,San Juan City,"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",Addition Hills,,,,Filipino,,,Yes,No,,,,4.2,,Very Good
Sodam Korean Restaurant,,San Juan City,"17 J. Abad Santos Drive, Little Baguio, San Juan City",Little Baguio,,,,Korean,,,No,No,,,,4.3,,Very Good
Cafe Arabelle,,Santa Rosa,"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa","Nuvali, Don Jose, Santa Rosa",,,,"Cafe, American, Italian, Filipino",,,No,No,,,,3.6,,Good
Nonna's Pasta & Pizzeria,,Santa Rosa,"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa","Solenad 3, Don Jose, Santa Rosa",,,,"Italian, Pizza",,,No,No,,,,4,,Very Good
Balay Dako,,Tagaytay City,"Aguinaldo Highway, Tagaytay City",Tagaytay City,,,,Filipino,,,Yes,No,,,,4.5,,Excellent
Hobing Korean Dessert Cafe,,Taguig City,"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City",,,,"Cafe, Korean, Desserts",,,No,No,,,,4.5,,Excellent
Wildflour Cafe + Bakery,,Taguig City,"Ground Floor, Netlima Building, 4th Avenue Corner 26th Street, Bonifacio Global City, Taguig City",Bonifacio Global City,,,,"Cafe, Bakery, American, Italian",,,Yes,No,,,,4.4,,Very Good
NIU by Vikings,,Taguig City,"Sixth Floor, SM Aura Premier, C5 Road Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City",,,,"Seafood, American, Mediterranean, Japanese",,,Yes,No,,,,4.7,,Excellent
The Food Hall by Todd English,,Taguig City,"Fifth Floor, SM Aura Premier, C5 Corner 26th Street, Bonifacio Global City, Taguig City","SM Aura Premier, Bonifacio Global City, Taguig City",,,,"American, Asian, Italian, Seafood",,,Yes,No,,,,4.5,,Excellent
Chez Michou,,BrasÌ_lia,"SCLN, 208, Bloco A, Loja 30, Asa Norte, BrasÌ_lia",Asa Norte,,,,"Fast Food, French",,,No,No,,,,3,,Average
CafÌ© Daniel Briand,,BrasÌ_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, BrasÌ_lia",Asa Norte,,,,Cafe,,,No,No,,,,3.8,,Good
Casa do Biscoito Mineiro,,BrasÌ_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, BrasÌ_lia",Asa Norte,,,,Bakery,,,No,No,,,,3.7,,Good
Maori,,BrasÌ_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, BrasÌ_lia",Asa Norte,,,,Brazilian,,,No,No,,,,3.8,,Good
Pizza ÌÊ Bessa,,BrasÌ_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, BrasÌ_lia",Asa Sul,,,,Pizza,,,No,No,,,,3.2,,Average
Sushi Loko,,BrasÌ_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, BrasÌ_lia",Asa Sul,,,,Japanese,,,No,No,,,,3.1,,Average
Beirute,,BrasÌ_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, BrasÌ_lia",Asa Sul,,,,Arabian,,,No,No,,,,3.7,,Good
New Koto,,BrasÌ_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, BrasÌ_lia",Asa Sul,,,,Japanese,,,No,No,,,,3.7,,Good
Sandubas CafÌ©,,BrasÌ_lia,"EdifÌ_cio JosÌ© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, BrasÌ_lia",Asa Sul,,,,"Brazilian, Cafe",,,No,No,,,,0,,Not rated
Villa Tevere,,BrasÌ_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, BrasÌ_lia",Asa Sul,,,,Italian,,,No,No,,,,4.1,,Very Good
Rovereto,,BrasÌ_lia,"Rua 13 Norte, Lote 4, ÌÅguas Claras, BrasÌ_lia",ÌÅguas Claras,,,,Pizza,,,No,No,,,,3.1,,Average
Buena Carne,,BrasÌ_lia,"Avenida AraucÌÁrias, 1325, Loja 19, ÌÅguas Claras, BrasÌ_lia",ÌÅguas Claras,,,,"Bar Food, Brazilian",,,No,No,,,,3.6,,Good
Taco Pep,,BrasÌ_lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, ÌÄguas Claras, BrasÌ_lia",ÌÅguas Claras,,,,"Mexican, Grill",,,No,No,,,,4.3,,Very Good
Coco Bambu,,BrasÌ_lia,"BrasÌ_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, BrasÌ_lia","BrasÌ_lia Shopping, Asa Norte",,,,International,,,No,No,,,,4.2,,Very Good
TaypÌÁ,,BrasÌ_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, BrasÌ_lia",Lago Sul,,,,"Peruvian, Latin American",,,No,No,,,,3.6,,Good
Outback Steakhouse,,BrasÌ_lia,"ParkShopping - Piso 2, SAI/SO, ÌÅrea 6580, GuarÌÁ I, BrasÌ_lia","ParkShopping, GuarÌÁ I",,,,"American, Grill",,,No,No,,,,4,,Very Good
ManzuÌÁ,,BrasÌ_lia,"PontÌ£o Lago Sul, SHIS 10, Lote 9, Lago Sul, BrasÌ_lia","PontÌ£o Lago Sul, Lago Sul",,,,Seafood,,,No,No,,,,3.2,,Average
Coco Bambu,,BrasÌ_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, BrasÌ_lia",Setor De Clubes Esportivos Sul,,,,International,,,No,No,,,,4.9,,Excellent
Gero,,BrasÌ_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, BrasÌ_lia","Shopping Iguatemi, Lago Norte",,,,Italian,,,No,No,,,,3.3,,Average
Brazilian American Burgers,,BrasÌ_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, BrasÌ_lia",Sudoeste,,,,"American, Burger",,,No,No,,,,3.6,,Good
Pesqueiro Eco Gourmet,,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida LÌ_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,,,,"Seafood, Bar Food, Brazilian",,,No,No,,,,4,,Very Good
Confeitaria Colombo,,Rio de Janeiro,"Rua GonÌ_alves Dias, 32, Centro, Rio de Janeiro",Centro,,,,"Desserts, Cafe",,,No,No,,,,4.8,,Excellent
Bibi,,Rio de Janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,,,,"Juices, Healthy Food",,,No,No,,,,4.7,,Excellent
Cervantes,,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,,,,"Beverages, Bar Food, Fast Food",,,No,No,,,,4.5,,Excellent
